title,distance,prices
2018 Maruti Suzuki Baleno Zeta,"17,226 km  |  Petrol  |  Mumbai",Rs. 6.55 Lakh
2022 Hyundai Venue SX Plus 1.0 Turbo DCT,"10,936 km  |  Petrol  |  Mumbai",Rs. 13.25 Lakh
2014 Honda Brio EX MT,"26,112 km  |  Petrol  |  Mumbai",Rs. 3.4 Lakh
2021 BMW 7 Series 740Li,"16,297 km  |  Petrol  |  Mumbai",Rs. 1.15 Crore
2017 Hyundai Creta SX 1.6 CRDI,"37,234 km  |  Diesel  |  Mumbai",Rs. 9.75 Lakh
2019 Tata Tiago Revotorq XT [2016-2019],"28,639 km  |  Diesel  |  Mumbai",Rs. 4.95 Lakh
2022 Mahindra XUV700 AX 7 Petrol AT 7 STR [2021],"17,772 km  |  Petrol  |  Mumbai",Rs. 23.49 Lakh
2019 Maruti Suzuki Ertiga ZXI+,"36,151 km  |  Petrol  |  Mumbai",Rs. 9.9 Lakh
2016 Maruti Suzuki S-Cross Zeta 1.3,"46,165 km  |  Diesel  |  Mumbai",Rs. 7.11 Lakh
2022 Maruti Suzuki Ciaz Alpha 1.5 AT [2020-2023],"17,577 km  |  Petrol  |  Mumbai",Rs. 10.99 Lakh
2016 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"11,046 km  |  Diesel  |  Mumbai",Rs. 20.45 Lakh
2022 Maruti Suzuki Wagon R ZXI Plus 1.2 AGS [2022-2023],"4,609 km  |  Petrol  |  Mumbai",Rs. 7.25 Lakh
2022 Toyota Urban Cruiser High Grade MT,"20,627 km  |  Petrol  |  Mumbai",Rs. 9.95 Lakh
2018 Tata Hexa XT 4x2 7 STR,"88,712 km  |  Diesel  |  Mumbai",Rs. 11.75 Lakh
2016 Skoda Superb L&K TSI AT,"38,697 km  |  Petrol  |  Mumbai",Rs. 16.99 Lakh
2020 Maruti Suzuki Ignis Alpha 1.2 MT,"17,757 km  |  Petrol  |  Mumbai",Rs. 6.25 Lakh
2021 Tata Nexon XM (S) Diesel [2020-2023],"49,287 km  |  Diesel  |  Mumbai",Rs. 9.49 Lakh
2016 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"56,161 km  |  Petrol  |  Mumbai",Rs. 6.5 Lakh
2018 Hyundai Verna 1.6 CRDI SX (O),"62,575 km  |  Diesel  |  Mumbai",Rs. 8.99 Lakh
2019 Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,"26,056 km  |  Petrol  |  Mumbai",Rs. 10.49 Lakh
2018 Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],"59,038 km  |  Petrol  |  Mumbai",Rs. 5.49 Lakh
2018 Maruti Suzuki Celerio VXi AMT [2017-2019],"55,708 km  |  Petrol  |  Mumbai",Rs. 4.75 Lakh
2016 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"70,884 km  |  Diesel  |  Mumbai",Rs. 18.5 Lakh
2022 Hyundai i20 Asta (O) 1.2 MT [2020-2023],"16,783 km  |  Petrol  |  Mumbai",Rs. 9.6 Lakh
2016 Honda Jazz V AT Petrol,"37,581 km  |  Petrol  |  Mumbai",Rs. 5.75 Lakh
2015 Mahindra XUV500 W10 AWD,"77,660 km  |  Diesel  |  Mumbai",Rs. 8.75 Lakh
2015 Maruti Suzuki Baleno Delta 1.2 AT,"44,365 km  |  Petrol  |  Mumbai",Rs. 5.15 Lakh
2018 Maruti Suzuki Baleno Zeta,"28,541 km  |  Petrol  |  Mumbai",Rs. 6.45 Lakh
2016 Mahindra TUV300 T8 AMT,"67,684 km  |  Diesel  |  Mumbai",Rs. 6.99 Lakh
2018 Maruti Suzuki Ciaz Sigma Hybrid 1.5 [2018-2020],"46,239 km  |  Petrol  |  Mumbai",Rs. 6.75 Lakh
2022 Maruti Suzuki S-Presso VXi Plus,"14,770 km  |  Petrol  |  Mumbai",Rs. 4.75 Lakh
2018 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"63,993 km  |  Diesel  |  Mumbai",Rs. 20.75 Lakh
2018 Hyundai Creta E Plus 1.6 Petrol,"59,299 km  |  Petrol  |  Mumbai",Rs. 8.45 Lakh
2019 Hyundai Elite i20 Magna Plus 1.2 [2019-2020],"49,755 km  |  Petrol  |  Mumbai",Rs. 6.1 Lakh
2015 Hyundai Elite i20 Sportz 1.2 (O),"43,045 km  |  Petrol  |  Mumbai",Rs. 5 Lakh
2022 Tata Nexon XZA Plus (O),"6,614 km  |  Petrol  |  Mumbai",Rs. 11.9 Lakh
2022 Maruti Suzuki Baleno Alpha AGS [2022-2023],"10,951 km  |  Petrol  |  Mumbai",Rs. 9.75 Lakh
2017 Hyundai Verna EX 1.6 VTVT AT [2017-2018],"24,219 km  |  Petrol  |  Mumbai",Rs. 7.75 Lakh
2018 Hyundai Creta 1.6 S Plus AT,"30,594 km  |  Diesel  |  Mumbai",Rs. 11.49 Lakh
2019 Hyundai Venue S 1.0 AT Petrol [2019-2020],"29,636 km  |  Petrol  |  Mumbai",Rs. 9.49 Lakh
2020 Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],"21,052 km  |  Petrol  |  Mumbai",Rs. 9.95 Lakh
2017 Honda Jazz V AT Petrol,"34,363 km  |  Petrol  |  Mumbai",Rs. 6.25 Lakh
2018 Toyota Corolla Altis VL AT Petrol,"74,034 km  |  Petrol  |  Mumbai",Rs. 11.2 Lakh
2019 Hyundai Elite i20 Sportz 1.2,"34,468 km  |  Petrol  |  Mumbai",Rs. 6.9 Lakh
2014 Maruti Suzuki Ertiga ZDi,"95,520 km  |  Diesel  |  Mumbai",Rs. 6.95 Lakh
2021 MG Gloster Savvy 7 STR 2.0 Twin Turbo 4WD [2022-2023],"19,134 km  |  Diesel  |  Mumbai",Rs. 39.75 Lakh
2020 Toyota Urban Cruiser Mid Grade AT,"32,334 km  |  Petrol  |  Mumbai",Rs. 9.99 Lakh
2016 Hyundai Creta 1.6 SX,"79,241 km  |  Diesel  |  Mumbai",Rs. 9.9 Lakh
2015 Hyundai Creta 1.6 SX (O),"59,275 km  |  Diesel  |  Mumbai",Rs. 9.75 Lakh
2015 Honda Mobilio V Petrol,"57,876 km  |  Petrol  |  Mumbai",Rs. 5.35 Lakh
2022 Tata Harrier XZA Plus,"13,746 km  |  Diesel  |  Mumbai",Rs. 22.5 Lakh
2022 Honda Jazz ZX CVT,"18,769 km  |  Petrol  |  Mumbai",Rs. 9.75 Lakh
2016 Datsun GO Plus T,"13,016 km  |  Petrol  |  Mumbai",Rs. 2.99 Lakh
2016 Honda BR-V V CVT Petrol,"51,470 km  |  Petrol  |  Mumbai",Rs. 6.99 Lakh
2022 MG Astor Sharp 1.5 CVT Old Generation [2021-2023],"23,228 km  |  Petrol  |  Mumbai",Rs. 15.75 Lakh
2017 Hyundai Verna 1.6 VTVT SX AT,"66,575 km  |  Petrol  |  Mumbai",Rs. 6.39 Lakh
2015 Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],"55,168 km  |  Petrol  |  Mumbai",Rs. 4.21 Lakh
2020 Toyota Glanza G,"34,112 km  |  Petrol  |  Mumbai",Rs. 7.25 Lakh
2018 Toyota Yaris G CVT [2018-2020],"78,172 km  |  Petrol  |  Mumbai",Rs. 7.5 Lakh
2017 Volkswagen Tiguan Comfortline TDI,"63,611 km  |  Diesel  |  Mumbai",Rs. 18.99 Lakh
2019 Hyundai Venue S 1.0 AT Petrol [2019-2020],"19,831 km  |  Petrol  |  Mumbai",Rs. 9 Lakh
