title,distance,prices
2020 Kia Seltos HTE 1.5,"42,372 km  |  Petrol  |  Hyderabad",Rs. 12.09 Lakh
2019 Kia Seltos HTK Plus AT 1.5 Diesel [2020-2021],"30,956 km  |  Diesel  |  Hyderabad",Rs. 17 Lakh
2019 Maruti Suzuki Swift VDi AMT,"56,694 km  |  Diesel  |  Hyderabad",Rs. 7.5 Lakh
2011 BMW 7 Series 730d Sedan,"33,905 km  |  Diesel  |  Hyderabad",Rs. 23 Lakh
2018 Maruti Suzuki S-Cross Zeta 1.3,"77,373 km  |  Diesel  |  Hyderabad",Rs. 9.75 Lakh
2010 Toyota Fortuner 3.0 MT,"2,87,187 km  |  Diesel  |  Hyderabad",Rs. 13 Lakh
2015 Mercedes-Benz S-Class S 500,"20,180 km  |  Petrol  |  Hyderabad",Rs. 68 Lakh
2016 Hyundai Creta 1.6 SX Plus AT Petrol,"92,868 km  |  Petrol  |  Hyderabad",Rs. 9.19 Lakh
2008 BMW 7 Series 750Li Sedan,"47,551 km  |  Petrol  |  Hyderabad",Rs. 19.5 Lakh
2015 Mercedes-Benz GLE 250 d,"90,356 km  |  Diesel  |  Hyderabad",Rs. 32 Lakh
2019 Maruti Suzuki Swift ZXi Plus AMT [2018-2019],"56,668 km  |  Petrol  |  Hyderabad",Rs. 7.5 Lakh
2018 Nissan Micra XV CVT,"56,000 km  |  Petrol  |  Hyderabad",Rs. 6 Lakh
2018 Volkswagen Tiguan Highline TDI,"46,000 km  |  Diesel  |  Hyderabad",Rs. 27 Lakh
2019 BMW 5 Series 530d M Sport [2013-2017],"16,090 km  |  Diesel  |  Hyderabad",Rs. 68 Lakh
2022 Nissan Magnite XV Turbo [2020],"13,730 km  |  Petrol  |  Hyderabad",Rs. 8.77 Lakh
2016 Hyundai Creta 1.6 SX (O),"1,19,781 km  |  Diesel  |  Hyderabad",Rs. 8.94 Lakh
2015 Audi Q5 2.0 TDI quattro Premium Plus,"57,001 km  |  Diesel  |  Hyderabad",Rs. 25 Lakh
2022 Toyota Innova Crysta G 2.4 7 STR,"57,347 km  |  Diesel  |  Hyderabad",Rs. 23.5 Lakh
2014 Volkswagen Jetta Comfortline TDI,"1,03,429 km  |  Diesel  |  Hyderabad",Rs. 8 Lakh
2019 Volvo S90 D4 Inscription,"45,429 km  |  Diesel  |  Hyderabad",Rs. 45 Lakh
2020 Maruti Suzuki S-Cross 2020 Alpha,"35,000 km  |  Petrol  |  Hyderabad",Rs. 9.75 Lakh
2018 Mercedes-Benz GLS 350 d,"79,955 km  |  Diesel  |  Hyderabad",Rs. 82 Lakh
2018 Mercedes-Benz GLC 220 d Progressive,"50,117 km  |  Diesel  |  Hyderabad",Rs. 48.5 Lakh
