title,distance,prices
2019 Mercedes-Benz GLA 200 Sport,"33,350 km  |  Petrol  |  Navi Mumbai",Rs. 27 Lakh
2013 Audi Q7 3.0 TDI quattro Premium Plus,"89,700 km  |  Diesel  |  Navi Mumbai",Rs. 18.5 Lakh
2019 BMW X3 xDrive 20d Luxury Line [2018-2020],"32,400 km  |  Diesel  |  Navi Mumbai",Rs. 48 Lakh
2018 Mercedes-Benz C-Class C 200 Avantgarde Edition,"41,000 km  |  Petrol  |  Navi Mumbai",Rs. 28.5 Lakh
2016 Mercedes-Benz S-Class S 350 CDI,"33,900 km  |  Diesel  |  Navi Mumbai",Rs. 45.5 Lakh
2015 Mercedes-Benz C-Class C 220 CDI Avantgarde,"75,400 km  |  Diesel  |  Navi Mumbai",Rs. 21.8 Lakh
2019 Mercedes-Benz CLA 200 CDI Sport,"15,850 km  |  Diesel  |  Navi Mumbai",Rs. 27.5 Lakh
2017 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],"38,900 km  |  Diesel  |  Navi Mumbai",Rs. 39.75 Lakh
2013 Mercedes-Benz GL 350 CDI,"78,700 km  |  Diesel  |  Navi Mumbai",Rs. 26.5 Lakh
2017 Mercedes-Benz CLA 200 CDI Sport,"23,000 km  |  Diesel  |  Navi Mumbai",Rs. 22 Lakh
2012 Mercedes-Benz E-Class E200 CGI Blue Efficiency,"74,000 km  |  Petrol  |  Navi Mumbai",Rs. 8.75 Lakh
2013 Audi A6 2.0 TDI Premium,"75,400 km  |  Diesel  |  Navi Mumbai",Rs. 8.5 Lakh
2014 Jaguar XF 2.2 Diesel,"68,400 km  |  Diesel  |  Navi Mumbai",Rs. 15.75 Lakh
2018 BMW 5 Series 530i Sport Line,"36,800 km  |  Petrol  |  Navi Mumbai",Rs. 39 Lakh
2016 Jaguar XJ L 2.0 Portfolio,"59,600 km  |  Petrol  |  Navi Mumbai",Rs. 42 Lakh
2015 Audi Q5 3.0 TDI quattro,"92,900 km  |  Diesel  |  Navi Mumbai",Rs. 16.5 Lakh
2019 BMW X1 sDrive20d Expedition,"55,000 km  |  Diesel  |  Navi Mumbai",Rs. 24.5 Lakh
2016 Audi A6 35 TDI Matrix,"65,600 km  |  Diesel  |  Navi Mumbai",Rs. 22.75 Lakh
2018 Mercedes-Benz E-Class E 220 d Avantgarde,"57,000 km  |  Diesel  |  Navi Mumbai",Rs. 39.5 Lakh
2017 Audi Q3 35 TDI Premium Plus + Sunroof,"58,000 km  |  Diesel  |  Navi Mumbai",Rs. 19.75 Lakh
2016 Mercedes-Benz GLA 200 d Sport,"40,800 km  |  Diesel  |  Navi Mumbai",Rs. 16.5 Lakh
2017 Mercedes-Benz GLC 300 Progressive,"49,000 km  |  Petrol  |  Navi Mumbai",Rs. 35 Lakh
2015 BMW 3 Series GT 320d Sport Line [2014-2016],"92,000 km  |  Diesel  |  Navi Mumbai",Rs. 16.5 Lakh
2015 Jaguar XF 2.2 Diesel Luxury,"35,000 km  |  Diesel  |  Navi Mumbai",Rs. 18.25 Lakh
2015 Jaguar XF 2.2 Diesel Luxury,"35,000 km  |  Diesel  |  Navi Mumbai",Rs. 18.25 Lakh
2015 BMW 3 Series 320d Prestige,"68,200 km  |  Diesel  |  Navi Mumbai",Rs. 13.9 Lakh
2016 Mercedes-Benz B-Class B 180 Night Edition,"59,600 km  |  Petrol  |  Navi Mumbai",Rs. 13.75 Lakh
2016 Audi Q7 45 TDI Technology Pack,"81,000 km  |  Diesel  |  Navi Mumbai",Rs. 40.75 Lakh
2012 Porsche Cayenne S Hybrid,"81,000 km  |  Petrol  |  Navi Mumbai",Rs. 28.5 Lakh
2016 Mercedes-Benz E-Class E 200,"53,700 km  |  Petrol  |  Navi Mumbai",Rs. 19.75 Lakh
2016 Mercedes-Benz E-Class E 250 CDI Avantgarde,"64,000 km  |  Diesel  |  Navi Mumbai",Rs. 21 Lakh
2014 MINI Cooper Countryman 1.6 S,"27,000 km  |  Petrol  |  Navi Mumbai",Rs. 13.8 Lakh
2016 Mercedes-Benz CLA 200 CDI Sport,"22,900 km  |  Diesel  |  Navi Mumbai",Rs. 16.75 Lakh
