title,distance,prices
2016 Hyundai Elite i20 Asta 1.2 (O) [2016],"6,68,990 km  |  Petrol  |  Pune",Rs. 6.85 Lakh
2012 Hyundai i20 Sportz 1.2 BS-IV,"90,625 km  |  Petrol  |  Pune",Rs. 3.9 Lakh
2018 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"94,000 km  |  Diesel  |  Pune",Rs. 21.65 Lakh
2022 Mercedes-Benz GLA 220d [2021-2023],"15,500 km  |  Diesel  |  Pune",Rs. 55 Lakh
2017 Ford Endeavour Titanium 3.2 4x4 AT,"1,12,045 km  |  Diesel  |  Pune",Rs. 26.7 Lakh
2013 Volkswagen Vento Highline Diesel AT,"1,12,751 km  |  Diesel  |  Pune",Rs. 4.5 Lakh
2023 Mahindra Thar LX Hard Top Diesel MT 4WD,"9,987 km  |  Diesel  |  Pune",Rs. 17.6 Lakh
2020 Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],"34,646 km  |  Petrol  |  Pune",Rs. 8.5 Lakh
2006 Maruti Suzuki 800 AC BS-II,"68,545 km  |  Petrol  |  Pune",Rs. 1.1 Lakh
2020 Maruti Suzuki Vitara Brezza ZDi,"85,175 km  |  Diesel  |  Pune",Rs. 9.75 Lakh
2016 Honda City V,"45,887 km  |  Petrol  |  Pune",Rs. 6.55 Lakh
2020 Mercedes-Benz E-Class E 220d Expression,"64,000 km  |  Diesel  |  Pune",Rs. 48 Lakh
2021 Skoda Kushaq Ambition 1.0L TSI AT,"28,900 km  |  Petrol  |  Pune",Rs. 13.3 Lakh
2010 Skoda Fabia Active 1.2 MPI,"73,587 km  |  Petrol  |  Pune",Rs. 2.5 Lakh
2015 Audi A4 2.0 TDI (177bhp) Premium Plus,"48,000 km  |  Diesel  |  Pune",Rs. 15 Lakh
2012 Ford Figo Duratorq Diesel ZXI 1.4,"72,344 km  |  Diesel  |  Pune",Rs. 2.56 Lakh
2017 Ford Aspire Ambiente 1.5 TDCi,"66,335 km  |  Diesel  |  Pune",Rs. 5.65 Lakh
2013 Honda Amaze 1.5 S i-DTEC,"1,01,000 km  |  Diesel  |  Pune",Rs. 4.25 Lakh
2019 Maruti Suzuki Baleno Alpha Automatic,"4,400 km  |  Petrol  |  Pune",Rs. 8.5 Lakh
2013 Maruti Suzuki Alto 800 Lxi,"55,236 km  |  Petrol  |  Pune",Rs. 2.2 Lakh
2016 Volkswagen Vento Highline Petrol,"55,503 km  |  Petrol  |  Pune",Rs. 6.1 Lakh
2019 Hyundai Creta SX 1.6 CRDi (O),"78,577 km  |  Diesel  |  Pune",Rs. 13.95 Lakh
2017 Maruti Suzuki Alto 800 Lx CNG,"91,112 km  |  CNG  |  Pune",Rs. 3.1 Lakh
2011 Hyundai i10 Asta 1.2 AT with Sunroof,"99,854 km  |  Petrol  |  Pune",Rs. 3.35 Lakh
2015 Nissan Sunny XV CVT,"7,500 km  |  Petrol  |  Pune",Rs. 5.1 Lakh
2018 Volkswagen Polo GT TSI,"57,962 km  |  Petrol  |  Pune",Rs. 8.15 Lakh
2013 Honda City 1.5 S MT,"67,473 km  |  Petrol  |  Pune",Rs. 4 Lakh
2018 Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],"27,643 km  |  Petrol  |  Pune",Rs. 6.5 Lakh
2022 Kia Sonet HTX Plus 1.0 iMT [2020-2021],"5,443 km  |  Petrol  |  Pune",Rs. 12.75 Lakh
2017 Land Rover Range Rover Evoque HSE Dynamic,"31,419 km  |  Diesel  |  Pune",Rs. 38.5 Lakh
2017 BMW X1 sDrive20d Expedition,"65,713 km  |  Diesel  |  Pune",Rs. 19.5 Lakh
2017 Toyota Innova Crysta 2.4 G 8 STR [2016-2017],"32,720 km  |  Diesel  |  Pune",Rs. 18.5 Lakh
2015 Honda Jazz VX AT,"7,85,016 km  |  Petrol  |  Pune",Rs. 6.4 Lakh
2016 Volkswagen Polo Highline1.5L (D),"65,826 km  |  Diesel  |  Pune",Rs. 5.8 Lakh
2022 Mahindra Thar LX Hard Top Petrol AT,"22,972 km  |  Petrol  |  Pune",Rs. 16.5 Lakh
