title,distance,prices
2014 BMW 5 Series 520d Luxury Line,"1,29,000 km  |  Diesel  |  Chandigarh",Rs. 12.95 Lakh
2017 Audi A4 35 TDI Technology,"75,000 km  |  Diesel  |  Chandigarh",Rs. 22.95 Lakh
2017 Land Rover Range Rover Evoque HSE,"60,000 km  |  Diesel  |  Chandigarh",Rs. 31.95 Lakh
2014 BMW 5 Series 520d Luxury Line [2017-2019],"57,800 km  |  Diesel  |  Chandigarh",Rs. 15.5 Lakh
2016 Mercedes-Benz GL 350 CDI,"90,000 km  |  Diesel  |  Chandigarh",Rs. 34 Lakh
2018 Ford EcoSport Titanium+ 1.5L TDCi Black Edition,"61,000 km  |  Diesel  |  Chandigarh",Rs. 7.95 Lakh
2014 Toyota Fortuner 4x2 AT,"75,000 km  |  Diesel  |  Chandigarh",Rs. 15.5 Lakh
2017 Audi A4 35 TDI Technology,"72,000 km  |  Diesel  |  Chandigarh",Rs. 23 Lakh
2021 Toyota Fortuner Legender 4X2 AT 2.8 Legender,"51,000 km  |  Diesel  |  Chandigarh",Rs. 43.5 Lakh
2021 Toyota Vellfire Hybrid,"40,000 km  |  Hybrid  |  Chandigarh",Rs. 1.03 Crore
2021 Land Rover Range Rover Evoque SE R-Dynamic Diesel [2022-2023],"23,000 km  |  Diesel  |  Chandigarh",Rs. 68 Lakh
2021 BMW 3 Series Gran Limousine 330Li M Sport First Edition,"6,000 km  |  Petrol  |  Chandigarh",Rs. 55.9 Lakh
2020 BMW X4 xDrive20d M Sport X [2019-2020],"48,000 km  |  Diesel  |  Chandigarh",Rs. 52.5 Lakh
2021 Toyota Vellfire Hybrid,"40,000 km  |  Hybrid  |  Chandigarh",Rs. 1.03 Crore
2021 Land Rover Range Rover Evoque SE R-Dynamic Diesel [2022-2023],"23,000 km  |  Diesel  |  Chandigarh",Rs. 68 Lakh
2020 Mercedes-Benz GLE Coupe 43 4MATIC [2017-2019],"21,000 km  |  Petrol  |  Chandigarh",Rs. 84 Lakh
2019 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"53,000 km  |  Diesel  |  Chandigarh",Rs. 47.5 Lakh
2020 BMW X4 xDrive20d M Sport X [2019-2020],"48,000 km  |  Diesel  |  Chandigarh",Rs. 52.5 Lakh
2017 Mercedes-Benz E-Class E 220 d Avantgarde,"70,000 km  |  Diesel  |  Chandigarh",Rs. 35 Lakh
2023 Jeep Wrangler Rubicon,"5,500 km  |  Petrol  |  Chandigarh",Rs. 70 Lakh
2020 Ford Endeavour Titanium Plus 2.0 4x4 AT,"25,000 km  |  Diesel  |  Chandigarh",Rs. 36.5 Lakh
2020 Toyota Innova Crysta GX 2.4 AT 7 STR,"33,000 km  |  Diesel  |  Chandigarh",Rs. 20.75 Lakh
2014 BMW 5 Series 520d Luxury Line,"48,000 km  |  Diesel  |  Chandigarh",Rs. 17.5 Lakh
2019 BMW 3 Series 330i M Sport Edition,"52,000 km  |  Petrol  |  Chandigarh",Rs. 42.5 Lakh
2021 Kia Carnival Limousine Plus 7 STR,"30,000 km  |  Diesel  |  Chandigarh",Rs. 32.75 Lakh
2014 Land Rover Freelander 2 SE,"85,000 km  |  Diesel  |  Chandigarh",Rs. 12.95 Lakh
