title,distance,prices
2021 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"63,000 km  |  Diesel  |  Kolkata",Rs. 19.98 Lakh
2022 Hyundai Grand i10 Nios Magna 1.2 Kappa VTVT,"6,900 km  |  Petrol  |  Kolkata",Rs. 5.99 Lakh
2014 Ford Endeavour 3.0L 4x4 AT,"80,000 km  |  Diesel  |  Kolkata",Rs. 7.49 Lakh
2019 Honda Amaze 1.2 S MT Petrol [2018-2020],"28,000 km  |  Petrol  |  Kolkata",Rs. 4.95 Lakh
2018 Maruti Suzuki Dzire VXi,"41,000 km  |  Petrol  |  Kolkata",Rs. 5.39 Lakh
2017 Mahindra XUV500 W10,"75,000 km  |  Diesel  |  Kolkata",Rs. 8.25 Lakh
2020 Renault Triber RXZ [2019-2020],"36,000 km  |  Petrol  |  Kolkata",Rs. 5.89 Lakh
2016 Hyundai Creta 1.6 SX,"62,000 km  |  Diesel  |  Kolkata",Rs. 7.22 Lakh
2020 Maruti Suzuki Wagon R VXi 1.0 [2019-2019],"24,000 km  |  Petrol  |  Kolkata",Rs. 4.75 Lakh
2019 Hyundai Grand i10 Sportz 1.2 Kappa VTVT,"45,000 km  |  Petrol  |  Kolkata",Rs. 4.09 Lakh
2016 Honda City SV,"64,000 km  |  Petrol  |  Kolkata",Rs. 4.25 Lakh
2021 Maruti Suzuki Wagon R VXi 1.2,"25,000 km  |  Petrol  |  Kolkata",Rs. 5.39 Lakh
2018 Maruti Suzuki Swift VXi [2014-2017],"23,000 km  |  Petrol  |  Kolkata",Rs. 4.89 Lakh
2014 Volkswagen Vento Trendline Diesel,"52,000 km  |  Diesel  |  Kolkata",Rs. 3.15 Lakh
2019 Volkswagen Ameo Comfortline 1.0L (P),"45,000 km  |  Petrol  |  Kolkata",Rs. 4.49 Lakh
2022 Audi Q5 Technology 45 TFSI,"8,234 km  |  Petrol  |  Kolkata",Rs. 59.95 Lakh
2022 Hyundai Creta SX (O) 1.4 Turbo 7 DCT [2020-2022],"29,000 km  |  Petrol  |  Kolkata",Rs. 15.95 Lakh
2016 Honda City V,"69,000 km  |  Petrol  |  Kolkata",Rs. 4.95 Lakh
2023 Audi A6 Technology 45 TFSI,103 km  |  Petrol  |  Kolkata,Rs. 60 Lakh
2023 Audi e-tron 55,130 km  |  Electric  |  Kolkata,Rs. 1.05 Crore
2021 Maruti Suzuki Ertiga VXi,"39,361 km  |  Petrol  |  Kolkata",Rs. 8.85 Lakh
2019 Maruti Suzuki Ertiga VXi AT,"31,527 km  |  Petrol  |  Kolkata",Rs. 7.69 Lakh
2023 Audi A6 Technology 45 TFSI W/O Matrix,"6,022 km  |  Petrol  |  Kolkata",Rs. 60 Lakh
