title,distance,prices
2014 Honda City V,"78,095 km  |  Petrol  |  Ahmedabad",Rs. 5.35 Lakh
2019 Tata Harrier XZ [2019-2020],"33,765 km  |  Diesel  |  Ahmedabad",Rs. 14.75 Lakh
2017 Maruti Suzuki Dzire ZXi Plus AMT,"30,610 km  |  Petrol  |  Ahmedabad",Rs. 6.43 Lakh
2014 Honda City V,"78,095 km  |  Petrol  |  Ahmedabad",Rs. 5.35 Lakh
2015 Maruti Suzuki Swift DZire VDI,"1,16,388 km  |  Diesel  |  Ahmedabad",Rs. 4.44 Lakh
2021 MG Hector Sharp Hybrid 1.5 Petrol [2019-2020],"30,796 km  |  Hybrid  |  Ahmedabad",Rs. 14.95 Lakh
2021 MG Hector Sharp 2.0 Diesel [2019-2020],"93,282 km  |  Diesel  |  Ahmedabad",Rs. 15.21 Lakh
2016 Hyundai Elite i20 Magna 1.2 [2016-2017],"76,413 km  |  Petrol  |  Ahmedabad",Rs. 4.97 Lakh
2019 Jeep Compass Longitude (O) 2.0 Diesel [2017-2020],"26,519 km  |  Diesel  |  Ahmedabad",Rs. 12.22 Lakh
2018 Honda WR-V VX MT Diesel,"1,23,009 km  |  Diesel  |  Ahmedabad",Rs. 6.26 Lakh
2022 Tata Nexon XZ Plus (HS) Diesel Dark Edition,"29,798 km  |  Diesel  |  Ahmedabad",Rs. 11.26 Lakh
2018 Honda Jazz VX Petrol,"1,04,130 km  |  Petrol  |  Ahmedabad",Rs. 5.3 Lakh
2016 Hyundai Creta 1.6 SX,"1,07,491 km  |  Diesel  |  Ahmedabad",Rs. 7.56 Lakh
2022 Mahindra XUV300 1.5 W8 (O) [2019-2020],"27,099 km  |  Diesel  |  Ahmedabad",Rs. 12.38 Lakh
2020 Volkswagen Polo GT TSI,"39,344 km  |  Petrol  |  Ahmedabad",Rs. 8.77 Lakh
2017 Honda City 4th Generation VX CVT Petrol [2017-2019],"62,669 km  |  Petrol  |  Ahmedabad",Rs. 6.67 Lakh
2019 Honda Amaze 1.2 E MT Petrol [2018-2020],"43,525 km  |  Petrol  |  Ahmedabad",Rs. 5.33 Lakh
2018 Hyundai Elantra SX (O) 2.0 AT,"83,023 km  |  Petrol  |  Ahmedabad",Rs. 12.38 Lakh
2022 Tata Safari XZA Plus Gold,"19,960 km  |  Diesel  |  Ahmedabad",Rs. 20.53 Lakh
2022 Volkswagen Vento Highline Plus 1.0L TSI Automatic,"4,150 km  |  Petrol  |  Ahmedabad",Rs. 11.94 Lakh
2020 Maruti Suzuki S-Cross 2020 Delta,"30,125 km  |  Petrol  |  Ahmedabad",Rs. 7.84 Lakh
2017 Maruti Suzuki Ignis Delta 1.2 MT,"30,014 km  |  Petrol  |  Ahmedabad",Rs. 4.61 Lakh
2019 Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"13,831 km  |  Petrol  |  Ahmedabad",Rs. 5.15 Lakh
2018 Honda Amaze 1.2 S MT Petrol [2018-2020],"58,086 km  |  Petrol  |  Ahmedabad",Rs. 5.32 Lakh
2018 Tata Tiago Revotron XZA,"1,20,606 km  |  Petrol  |  Ahmedabad",Rs. 4.33 Lakh
2020 Jeep Compass Limited Plus 2.0 Diesel 4x4 AT,"60,186 km  |  Diesel  |  Ahmedabad",Rs. 16.21 Lakh
2019 Ford Endeavour Titanium 2.2 4x2 MT,"93,998 km  |  Diesel  |  Ahmedabad",Rs. 21.4 Lakh
2018 Honda Amaze 1.2 S MT Petrol [2018-2020],"58,086 km  |  Petrol  |  Ahmedabad",Rs. 5.32 Lakh
2018 Tata Tiago Revotron XZA,"1,20,606 km  |  Petrol  |  Ahmedabad",Rs. 4.33 Lakh
2017 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],"45,304 km  |  Petrol  |  Ahmedabad",Rs. 4.57 Lakh
2020 Honda City VX CVT,"36,212 km  |  Petrol  |  Ahmedabad",Rs. 10.65 Lakh
2017 Hyundai Elantra SX (O) 2.0 AT,"69,178 km  |  Petrol  |  Ahmedabad",Rs. 10.97 Lakh
2019 Honda Amaze 1.2 S i-VTEC,"54,034 km  |  Petrol  |  Ahmedabad",Rs. 5.82 Lakh
2017 Maruti Suzuki Ignis Zeta 1.2 AMT,"88,343 km  |  Petrol + 1  |  Ahmedabad",Rs. 4.47 Lakh
2022 Tata Safari XZ,"5,621 km  |  Diesel  |  Ahmedabad",Rs. 19.72 Lakh
2016 Maruti Suzuki Ciaz VXi,"69,708 km  |  Petrol  |  Ahmedabad",Rs. 5.16 Lakh
2018 Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],"44,787 km  |  Petrol  |  Ahmedabad",Rs. 6.95 Lakh
2016 Hyundai Creta 1.6 SX Plus AT,"1,01,678 km  |  Diesel  |  Ahmedabad",Rs. 7.92 Lakh
2019 Ford EcoSport Titanium 1.5L TDCi [2019-2020],"60,705 km  |  Diesel  |  Ahmedabad",Rs. 7.74 Lakh
2022 Tata Harrier XZA Plus,"3,846 km  |  Diesel  |  Ahmedabad",Rs. 20.4 Lakh
2020 Mahindra Thar LX Convertible Petrol AT,"9,834 km  |  Petrol  |  Ahmedabad",Rs. 12.39 Lakh
2019 Honda WR-V VX MT Diesel,"71,523 km  |  Diesel  |  Ahmedabad",Rs. 6.52 Lakh
2018 Honda WR-V VX MT Diesel,"1,18,162 km  |  Diesel  |  Ahmedabad",Rs. 6.55 Lakh
2017 Hyundai Creta SX Plus 1.6 AT CRDI,"1,00,452 km  |  Diesel  |  Ahmedabad",Rs. 9.18 Lakh
2022 Renault Triber RXZ [2019-2020],"2,464 km  |  Petrol  |  Ahmedabad",Rs. 7.55 Lakh
2019 Maruti Suzuki Wagon R VXi 1.0 AMT [2019-2019],"28,428 km  |  Petrol  |  Ahmedabad",Rs. 4.65 Lakh
2019 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],"33,847 km  |  Petrol  |  Ahmedabad",Rs. 5.11 Lakh
2021 Maruti Suzuki Wagon R LXi 1.0 CNG,"78,073 km  |  CNG  |  Ahmedabad",Rs. 5.48 Lakh
2018 Hyundai Elite i20 Magna Executive 1.2,"1,01,437 km  |  Petrol + 1  |  Ahmedabad",Rs. 5.79 Lakh
2018 Hyundai Elite i20 Magna Executive 1.2,"1,01,437 km  |  Petrol + 1  |  Ahmedabad",Rs. 5.79 Lakh
2017 Honda WR-V VX MT Petrol,"86,454 km  |  Petrol  |  Ahmedabad",Rs. 6.01 Lakh
2018 Maruti Suzuki Swift VDi,"86,322 km  |  Diesel  |  Ahmedabad",Rs. 5.84 Lakh
