title,distance,prices
2020 Honda City 4th Generation V CVT Petrol [2017-2019],"10,000 km  |  Petrol  |  Chennai",Rs. 11.25 Lakh
2012 Hyundai i20 Sportz 1.4 CRDI,"54,000 km  |  Diesel  |  Chennai",Rs. 3.9 Lakh
2021 Hyundai Venue SX (O) 1.0 Turbo iMT,"30,400 km  |  Petrol  |  Chennai",Rs. 11 Lakh
2018 Maruti Suzuki Wagon R 1.0 VXI+,"58,000 km  |  Petrol  |  Chennai",Rs. 4.65 Lakh
2018 Land Rover Discovery Sport HSE 7-Seater,"37,000 km  |  Diesel  |  Chennai",Rs. 33 Lakh
2018 Mahindra TUV300 T8,"44,000 km  |  Diesel  |  Chennai",Rs. 8.25 Lakh
2019 BMW X5 xDrive30d xLine,"38,000 km  |  Diesel  |  Chennai",Rs. 75 Lakh
2022 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],"12,000 km  |  Diesel  |  Chennai",Rs. 90 Lakh
2018 Mahindra XUV500 W6 AT,"23,000 km  |  Diesel  |  Chennai",Rs. 14.5 Lakh
2018 Tata Nexon XZ Plus,"52,000 km  |  Petrol  |  Chennai",Rs. 8.65 Lakh
2022 Mercedes-Benz E-Class E 220d Expression,"10,000 km  |  Diesel  |  Chennai",Rs. 73.9 Lakh
2023 Mercedes-Benz C-Class C 300d [2022-2023],"11,000 km  |  Diesel  |  Chennai",Rs. 63 Lakh
2022 Renault Triber RXL [2019-2020],"18,201 km  |  Petrol  |  Chennai",Rs. 6.75 Lakh
2018 Hyundai Elantra SX (O) 2.0 AT,"27,000 km  |  Petrol  |  Chennai",Rs. 13.5 Lakh
2022 Skoda Kushaq Style 1.0L TSI AT,"10,000 km  |  Petrol  |  Chennai",Rs. 17.25 Lakh
2021 MG Hector Sharp 1.5 DCT Petrol [2019-2020],"36,000 km  |  Petrol  |  Chennai",Rs. 17.6 Lakh
2016 Audi Q3 35 TDI Premium Plus + Sunroof,"55,000 km  |  Diesel  |  Chennai",Rs. 21.25 Lakh
2017 Jeep Compass Sport 2.0 Diesel,"63,000 km  |  Diesel  |  Chennai",Rs. 12 Lakh
2018 Jeep Compass Limited 2.0 Diesel [2017-2020],"73,000 km  |  Diesel  |  Chennai",Rs. 13.5 Lakh
2018 Hyundai Verna EX 1.6 VTVT AT [2017-2018],"23,000 km  |  Petrol  |  Chennai",Rs. 9 Lakh
2022 Mahindra Thar LX Hard Top Diesel AT,"20,001 km  |  Diesel  |  Chennai",Rs. 17.9 Lakh
2020 Kia Seltos HTX IVT 1.5 [2019-2020],"25,000 km  |  Petrol  |  Chennai",Rs. 14.5 Lakh
2023 Kia Carens Luxury Plus 1.5 Diesel AT 6 STR,"10,000 km  |  Diesel  |  Chennai",Rs. 20.95 Lakh
2018 Maruti Suzuki Swift VXi [2014-2017],"38,000 km  |  Petrol  |  Chennai",Rs. 6 Lakh
2021 BMW X5 xDrive40i M Sport [2019-2019],"19,000 km  |  Petrol  |  Chennai",Rs. 85.5 Lakh
2017 Mercedes-Benz E-Class E 220 d Avantgarde,"25,000 km  |  Diesel  |  Chennai",Rs. 43.5 Lakh
2022 Mercedes-Benz AMG A35 4MATIC [2021-2023],800 km  |  Petrol  |  Chennai,Rs. 57 Lakh
2010 Hyundai i10 Magna 1.2,"46,000 km  |  Petrol  |  Chennai",Rs. 2.75 Lakh
2022 Tata Harrier XZA Plus,"3,000 km  |  Diesel  |  Chennai",Rs. 22.5 Lakh
2021 Skoda Kushaq Ambition 1.0L TSI MT,"15,000 km  |  Petrol  |  Chennai",Rs. 12.9 Lakh
2018 Maruti Suzuki Baleno Delta 1.2,"27,000 km  |  Petrol  |  Chennai",Rs. 6.9 Lakh
2016 Renault Duster 110 PS RXZ 4X4 MT Diesel,"72,001 km  |  Diesel  |  Chennai",Rs. 7.9 Lakh
2016 Mahindra TUV300 T8,"36,500 km  |  Diesel  |  Chennai",Rs. 7.5 Lakh
2020 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],"30,000 km  |  Diesel  |  Chennai",Rs. 75 Lakh
2018 Jaguar F-Pace Pure,"60,000 km  |  Diesel  |  Chennai",Rs. 46.9 Lakh
2016 BMW 3 Series 320d Luxury Line,"66,000 km  |  Diesel  |  Chennai",Rs. 25 Lakh
2019 Maruti Suzuki Celerio X Zxi,"51,000 km  |  Petrol  |  Chennai",Rs. 5.25 Lakh
2022 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],"5,000 km  |  Diesel  |  Chennai",Rs. 89 Lakh
2019 Hyundai Venue SX Plus 1.0 Turbo DCT,"12,000 km  |  Petrol  |  Chennai",Rs. 10.5 Lakh
2020 Kia Seltos HTX IVT 1.5 [2019-2020],"24,000 km  |  Petrol  |  Chennai",Rs. 14.25 Lakh
2022 MG Hector Sharp 2.0 Diesel Turbo MT,"10,000 km  |  Diesel  |  Chennai",Rs. 20.95 Lakh
2022 BMW 3 Series Gran Limousine 320Ld Luxury Line,"15,000 km  |  Diesel  |  Chennai",Rs. 57.75 Lakh
2020 BMW 3 Series 320d Luxury Line,"50,000 km  |  Diesel  |  Chennai",Rs. 39.9 Lakh
2018 Maruti Suzuki Baleno Alpha Automatic,"32,000 km  |  Petrol  |  Chennai",Rs. 7.25 Lakh
2021 Honda Amaze VX CVT 1.2 Petrol [2021],"14,000 km  |  Petrol  |  Chennai",Rs. 8.55 Lakh
2021 Honda Amaze 1.2 S MT Petrol [2018-2020],"7,500 km  |  Petrol  |  Chennai",Rs. 7.35 Lakh
2022 Jeep Compass Model S (O) 2.0 Diesel [2021],"17,325 km  |  Diesel  |  Chennai",Rs. 25.5 Lakh
2021 Hyundai Venue SX 1.5 CRDi,"32,156 km  |  Diesel  |  Chennai",Rs. 9.26 Lakh
2015 Honda City VX,"98,063 km  |  Petrol  |  Chennai",Rs. 6 Lakh
2017 Honda WR-V VX MT Petrol,"32,607 km  |  Petrol  |  Chennai",Rs. 7.84 Lakh
2018 Ford EcoSport Titanium 1.0 Ecoboost,"64,485 km  |  Petrol  |  Chennai",Rs. 8.23 Lakh
2020 Ford EcoSport Titanium 1.5L Ti-VCT,"44,024 km  |  Petrol  |  Chennai",Rs. 9.44 Lakh
2014 Honda City VX,"66,826 km  |  Petrol  |  Chennai",Rs. 5.9 Lakh
2020 Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,"77,382 km  |  Petrol  |  Chennai",Rs. 6.54 Lakh
2016 Honda City SV,"48,628 km  |  Petrol  |  Chennai",Rs. 6.11 Lakh
2012 Hyundai i20 Sportz 1.2 BS-IV,"1,14,774 km  |  Petrol  |  Chennai",Rs. 3.28 Lakh
